fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	ganancia	iteracion
20220928 230343	binary	custom	TRUE	TRUE	FALSE	-100	20	TRUE	388699	0.0518754591248871	0.482250453229062	1191	966	13283	0	633	5.22588358697249	49.3398146814434	27	19120000	40
20220928 230350	binary	custom	TRUE	TRUE	FALSE	-100	4	TRUE	388699	0.173985358177073	0.875684216208756	929	663	10575	19	216	11.3582363288151	12.5668886833591	9	18850000	41
20220928 230359	binary	custom	TRUE	TRUE	FALSE	-100	6	TRUE	388699	0.0881708973117638	0.987785382079892	1967	993	5104	-1	896	42.6427522717859	9.15143463731511	79	16920000	42
20220928 230412	binary	custom	TRUE	TRUE	FALSE	-100	5	TRUE	388699	0.157644724167098	0.516065402659588	4489	80	12273	1	766	40.7391519693192	36.7838242001017	45	17460000	43
20220928 230434	binary	custom	TRUE	TRUE	FALSE	-100	36	TRUE	388699	0.0375385348955169	0.295947152357548	712	1003	7844	10	455	44.7125974553637	10.7175341539551	60	18960000	44
20220928 230441	binary	custom	TRUE	TRUE	FALSE	-100	3	TRUE	388699	0.24433905607232	0.636252578957938	4375	850	14492	4	872	7.39134427858517	8.33367153652944	12	15260000	45
20220928 230448	binary	custom	TRUE	TRUE	FALSE	-100	11	TRUE	388699	0.218298030755221	0.790429158089683	6912	930	5461	19	89	2.65344054583693	41.2598519431776	49	20200000	46
20220928 230503	binary	custom	TRUE	TRUE	FALSE	-100	9	TRUE	388699	0.0729428198069218	0.53414853063412	500	58	7492	13	180	2.21488296840107	2.63278320198879	82	21740000	47
20220928 230522	binary	custom	TRUE	TRUE	FALSE	-100	3	TRUE	388699	0.19565896095871	0.408996916050091	6321	99	5602	18	990	47.9302392635145	32.0676437803195	92	13040000	48
20220928 230529	binary	custom	TRUE	TRUE	FALSE	-100	6	TRUE	388699	0.253358209576982	0.897735663978383	3240	451	7211	15	242	42.2178918079589	48.7481439436669	9	19260000	49
20220928 230539	binary	custom	TRUE	TRUE	FALSE	-100	10	TRUE	388699	0.291049409244937	0.274406021013856	7794	158	14146	5	135	10.7901890852372	38.6263112659799	56	17710000	50
20220928 230612	binary	custom	TRUE	TRUE	FALSE	-100	43	TRUE	388699	0.0264529180627433	0.255536305299029	4922	645	14862	20	349	16.1033702234272	45.7861203316133	5	1.5e+07	51
20220928 230622	binary	custom	TRUE	TRUE	FALSE	-100	8	TRUE	388699	0.296982648841455	0.354042398328893	6563	914	6020	3	974	4.51996379182674	28.8514454491087	100	11560000	52
20220928 230632	binary	custom	TRUE	TRUE	FALSE	-100	8	TRUE	388699	0.233924918548	0.32607917947229	1757	139	13815	17	523	36.0806628223509	1.6090734678437	24	13810000	53
20220928 230648	binary	custom	TRUE	TRUE	FALSE	-100	30	TRUE	388699	0.029476127303089	0.918015629928559	6139	574	9572	9	566	24.1512949124444	21.3409303026856	77	19020000	54
20220928 230739	binary	custom	TRUE	TRUE	FALSE	-100	227	TRUE	388699	0.126642858465417	0.596574595504534	2215	103	7994	12	0	14.3208155505788	41.5075572865186	82	26580000	55
20220928 230756	binary	custom	TRUE	TRUE	FALSE	-100	37	TRUE	388699	0.114185398417931	0.872308196526873	2496	107	7626	11	0	7.85416623403128	44.8728718926867	73	26430000	56
20220928 230827	binary	custom	TRUE	TRUE	FALSE	-100	106	TRUE	388699	0.110774340427987	0.621311373256962	2023	143	7593	12	0	5.63177594637047	44.953181098376	70	26980000	57
20220928 230850	binary	custom	TRUE	TRUE	FALSE	-100	79	TRUE	388699	0.109943932347739	0.509597932319145	979	29	7848	4	0	1.10301015184274	40.4679990288218	68	26150000	58
20220928 230919	binary	custom	TRUE	TRUE	FALSE	-100	59	TRUE	388699	0.110503471310154	0.568340522815547	167	502	7049	10	0	6.86728394282811	39.8534969313398	76	26390000	59
20220928 230952	binary	custom	TRUE	TRUE	FALSE	-100	93	TRUE	388699	0.0955967768243248	0.571024769844749	2194	502	7697	9	0	0.648461378527719	46.1166773455946	97	27090000	60
20220928 231046	binary	custom	TRUE	TRUE	FALSE	-100	253	TRUE	388699	0.0716312471150441	0.39207664314753	1221	519	7867	10	0	6.56251463041301	47.5534929859749	89	26670000	61
20220928 231109	binary	custom	TRUE	TRUE	FALSE	-100	138	TRUE	388699	0.0780290554985709	0.67172966090357	1408	241	9531	9	1	4.98460464567657	47.6901389335858	94	26940000	62
20220928 231143	binary	custom	TRUE	TRUE	FALSE	-100	155	TRUE	388699	0.0984769488742309	0.606016121069464	2680	271	8080	10	0	5.01802509106467	49.5917754825313	74	26960000	63
20220928 231208	binary	custom	TRUE	TRUE	FALSE	-100	37	TRUE	388699	0.0732607220023671	0.61180705806873	710	329	8104	12	0	2.89233688717538	38.6989163070812	89	25960000	64
20220928 231244	binary	custom	TRUE	TRUE	FALSE	-100	135	TRUE	388699	0.112651156389399	0.509315992242156	1537	501	9806	8	0	3.58054355784673	45.3890568762654	94	26470000	65
20220928 231302	binary	custom	TRUE	TRUE	FALSE	-100	56	TRUE	388699	0.113266297473704	0.566276280516994	1552	500	7361	9	5	12.0993000800311	49.8251804534666	98	25200000	66
20220928 231333	binary	custom	TRUE	TRUE	FALSE	-100	182	TRUE	388699	0.0890883277439665	0.647578265863872	3087	416	8529	8	0	6.98573680858498	44.5522575509938	57	27030000	67
